no,text
184,We don ' tôi thuộc về nhau sắp vượt mặt We_Don ' tôi Talk_Anymore ( Y ) = ] ] ] ]
185,"Và sẽ câu cửa miêng "" chúng_ta không thộc về nhau "" phải không Sky"
186,Dù ai nói ngả nói nghiêng Lòng ta vẫn vững như kiềng bố chân.
187,Đúng là hero team đinh quá Đúng là cho hero team 10000000
188,"nhạc Tràng_Pháp là thế, bỏ_qua yếu_tố giọng hát,, nhưng càng nghe càng nghiện đấy,,,,,,,,,,,,,,,,,,,,,,,,,, chi ơi làm tốt lắm: 3"
189,"người nước_ngoài vào khen, người việt chê. không biết bao_giờ văn_minh mới bằng người ta"
190,31k không thích nếu đã là anti thì vào đây nghe làm gì để rồi dis... haizzz
191,"nhạc thì hay, lại còn đẹp_trai [ như lòn ]"
192,"cảm_ơn vì bài hát, giờ tôi đi_rửa tai đây"
193,Sơn_Tùng trong bài hát này có 1 phong_cách khác thỳ phải...
194,Bài hát viết dành cho người thất_tình đó hả
195,nhạc hay thì cứ nghe. lên_án làm gì: ) ) ) ) ) )
196,Vẫn đang nghe mỗi ngày có ai giống anh không nhỉ?
197,"chả hiểu mấy bợn chê gì, mày thấy dù không phải xuất_sắc nhưng cũng chẳng đến mức thảm_hoạ như mọi người nói."
198,Ai là người đã sáng_tác vậy ạ người khác sẽ nói rằng nó dở vãi như em có một lời khuyên chân_thành rằng nó giở thịc á nghe xong em liền bị điếc và không bao_giờ phải nghe bài này nữa :khóc: :khóc: :khóc:
199,"trong đó có sym với ngân, ro, phong, sam"
200,Nào mấy bố mấy mẹ tài hơn người ta rồi hãy phán... :cười_híp_mắt: MV dành cho Fan chứ không phải Anti... Nên về lại Vị_trí của mấy mẹ đi...
201,"Nghe giống We dont talk anymore - Charlie_Puth, Selena_Gomez vãi. Nghi nghi kiểu gì ý -. -"
202,co ai 33t ma nghe nhạc st nminh Không nhi?
203,"Omg anh_chàng này là tuyệt_vời, im từ Anh và tôi đã dành thời_gian để học tiếng việt :cười_ra_nước_mắt: :cười_ra_nước_mắt: phiên_bản tốt hơn của chúng_tôi không nói_chuyện nữa"
204,Cảm_ơn bài hát này của Quí bạn tôi đi đá bóng bị gãy chân phải ngồi xe_lăn lết từ nhà tới trường 1 tuần nay. Cho đến khi tôi vô_tình bật được bài này mà bạn tôi đã bật dậy để đập điện_thoại của tôi tôi ngỡ_ngàng khi từ một thằng thực_vật đã trở_nên có sức_sống mạnh liệt. Cảm_ơn Quí - thằng bị liệt chân chia_sẻ -
205,Tôi có người bạn bị liệt 2 chân lúc tôi thăm anh ấy to đã cho anh ấy nghe bài này và đi với lúc_qua_chở_lại thì tôi thấy anh ấy đứng bằng 2 chân để tắt và cầm con dao vì đã khiến ảnh nghe bài nhạc này
206,Mình không biết mọi người nghĩ như nào. Nhưng theo mình thấy bài này khá được. Còn nếu các bạn thấy chipu hát dở thì các bạn hát cho mọi người nghe xem có hay không. Đừng phán_xét người ta khi bản_thân mình còn không làm được. Đừng thấy mọi người chê chipu là quay ra hùa theo rồi nói. Đây là ý_kiến riêng
207,"Bài hát đã khiến người chết đươc Hồi_Sinh để ( tắt bài hát rồi ngủm tiếp ) và người sống sẽ được ban cho cái chết ( vì bài hát đã làm điếc lỗ tai và hư não họ ), 1 thảm_hoạ :hề:. Cảm_nhận sau khi bài này: Đi ị không ra ra, vô_tình bật bài hát lên, cục cuc liền trôi xuống, và tôi rất biết_ơn..... cục cuc đã tạo ra tiếng_động tũm tũm để không nghe nó, nghe xong muốn ị cho nhanh ( camon vì đã đọc nó ) bài hát như con lồn... Đọc thêm"
208,có lên nổi 200Tr lượt xem trước ngày 3 - 8 không nhỉ?
209,có ai giống tôi vào coi rồi đọc cmt chứ không biết nói_gì không. ¿???
210,Anh siro ơi quê anh ở bà rìa vũng_tàu đúng không ạ. Anh siro đẹp_trai em là pan của hero team nè
211,Bài này hay sao mà mọi người không thích nhiều vậy
212,Mình thấy cũng hay mà sao ai cũng không thích vậy: ) )
213,tính ra coi như 108408 thích và không không thích. sếp TÙng mountain giỏi quá!!!!!!
214,10h ngày 19 / 8 / 2016 36. 322. 495 hình_như là vẫn tăng mạnh chứ nhỉ.. bão sắp về ròi mà vẫn đang ngồi xem minh ở bắc_ninh
215,Sơn_Tùng có ăn hết của_cải của gd chúng_mày hay sao mà tụi bây anti fan như là bị giành xương vậy
216,"Em khuyên chị đừng có làm ca_sĩ nữa, nghe chả khác gì Linh_Ka nhưng đỡ hơn. Chị nên làm diễn_viên thì sẽ hợp hơn vì chị diễn tốt còn hát thì em xin cạn_lời. Bài này của chị mà nhiều không thích thì em nghĩ là do giọng hát và do dính nghi_án đạo nhạc kpop nữa. Em mong rằng chị nghe lời em nói mà suy_nghĩ. Nếu_như chị muốn đi hát thì chị cố_gắng tập_luyện đi, nghe ở đây có_vẻ hay nhưng em nghe chị hát live rồi em không bk nói gì hơn ngoài chữ haiz... Lệch nốt, đậu_phộng nốt lun ak. Thôi toàn_quyền quyết_định là do chị chọn em mong chị sẽ chọn đúng hướng để các fan yêu thích chị không quay lưng khi chị bắt_đầu cầm mic và các antifan không còn soi_mói nữa ( em không phải anti cái này là em khuyên thôi nhé, em có chửi_mắng như anti đâu :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: ). Chúc chị thành_công trên con đường của chị. Yêu chị :hôn_gió: :hôn_gió: :hôn_gió:"
217,lúc ms ra thấy cũng tạm = ) ) giờ nghe nhôn cái lừ
218,Thú_thật: ~ Sợ ma nhưng rất thích xem phim ma Có_lẽ tôi đùa hơi qá. Được rồi tôi xin_lỗi: ) )
219,Năm 2024 còn ai xem không? Điểm_danh nào mấy ní :giơ_tay: 🏻
220,Mình đã phải nhấn không thích bài này đến 2 lần... để chuyển sang nút thích... nghiện bài này lun rồi... cứu tôi với
221,Một tiếng mở đi mở lại 200 lần. 10. 000 người làm như mình thì một tiếng tăng thêm 2. 000. 000 triệu lượt lượt xem. :cười_toát_mồ_hôi:
222,Chúng_ta không thuộc về nhau. Ta thích nhất câu. Giấc mơ không là của nhau
223,"sau bật bài này trong đám_tang, mọi người sẽ phải ghen tỵ với người trong quan_tài"
224,Giai_điệu thì nghe bắt tai.. nhưng nghe xong cũng chã hiểu được bài hát có ý_nghĩa gì... cớ nhứ ở trong baz mà quẩy vậy.. đúng không mấy bạn
225,"anh quí đẹp_trai quá, nhạc hay_hay, lời ca trầm ấm, nhưng nghe xog em điếc mẹ luôn, từ đó em đã kiếm nhiều tiền hơn nhờ đôi tai điếc, cảm_ơn anh quí: 3"
226,Tôi để tốc_độ 2. không xem mấy đứa kia nhảy chết cmn luôn.: ) )
227,MV không có nội_dung Xàm_Nhiều đoạn muốn hiểu nhưng không_thể hiểu. Nói_chung là không thích đó...
228,Fan_Charlie_Pùng và Sơn_Tuth chúc Sơn_Tùng thành_công < 3
229,Sếp tùng cố lên đến tết 100 triệu lượt luôn sky cày đê
230,gì ghê vậy ms thấy 20 lượt xem chưa được 2 tiếg nữa lên 21 triệu rùi
231,Khi xem mv này thì tôi biết sơn tùng nó đẳng_cấp ntn
232,mới đọc được tin_tức trên kênh 14 nên qua đây. sao lại có_thể giống đến như_vậy. fan of bts
233,chi pu chinh giong do con che chi khoi My xấu va hát dở nua chứ
234,"đúng là "" chúng_ta không thuộc về nhau "" nghe 5 chữ này nhiều nhất.. không có ý_nghĩa..."
235,Donald đối_mặt với mày với với em tụi nó sẽ bị hết sọt vào đầu :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt:0 :cười_ra_nước_mắt:1 :cười_ra_nước_mắt:2 :cười_ra_nước_mắt:3 :cười_ra_nước_mắt:4 :cười_ra_nước_mắt:5 :cười_ra_nước_mắt:6 :cười_ra_nước_mắt:7 :cười_ra_nước_mắt:8 :cười_ra_nước_mắt:9
236,chúng_ta không cần luộc rau rap nghe quen_quen giống trong fire bts của rap monster
237,"Đhs người nước_ngoài ngta bênh ST, còn chúng_ta lại tự dìm người Việt nhỉ = ) ) ) ) )"
238,Mãi yêu anh Sky à: - )... EM mãi là Fan_TRUNG_THÀNH của anh ^ ^
239,"Câu "" chúng_ta không thuộc về nhau "" lập lại nhiều lần quá, nghe nhiều dễ bị chán"
240,"Nói thiệt là bà tôi cũng đã lớn_tuổi. Hôm đó tôi đi thăm bà nghe bà nói muốn nghe nhạc nên tôi bật bài này thì bac tôi đéo * * quỵ đi khám thôi. i thôi. ể thi bác_sĩ bảo không bt anh đã làm gì bà ấy mà khiến bà điếc rồi tim đập nhanh mạch_máu ngừng lưu_thông. Bây_giờ tôi chỉ bt bài nhạc này nên để vài blackbist của toàn_quốc nếu không nó sẽ tiếp_tục giết người :cười_toát_mồ_hôi: :cười_toát_mồ_hôi: trần_đời tôi vhuwa bạ giờ thấy bài hát nài tra_tấn tâm_lí của người nghe như này chắc CIA phải cho vào nhạc tra_tấn mất tp1 không thì uổng tài_năng của ĐPQ. TÔI KHUYÊN ANH, RẤT CÓ TÀI_NĂNG AM NÊN LÀ... ANH GIẤU MẸ TÀI_NĂNG NÀY ĐI KHÔNG LÀ TOII!! :lửa: :lửa: :lửa: :lửa: :lửa: :lửa: :lửa: :lửa: :cười_toát_mồ_hôi:0 :cười_toát_mồ_hôi:1 :cười_toát_mồ_hôi:2"
241,Các anh rap hay quá à em cho các anh một thích nhé!
242,"Chị Chi 5ting đừng nghe ngta phán_xét về chị là chị không tốt, chị chỉ được nghe góp_ý từ FC thôii, chúng_em yêu chị. Kệ họ đi chị, mãi yêu chị :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ: :trái_tim_đỏ:"
243,"KHÔNG biết là có hay không nhưng mình thì thuộc bố nhạc với bài hát rui. MV có đầu_tư, ăn_mặc không hở_hang như 1 số ca_sĩ, xem thì không đến_nỗi như HT nói. Những ca_sĩ giỏi hơn HT cũng chưa nhận_xét gì mà. Chẳng fan CP đâu nhưng như thế là Ok rui"
244,.. dạo quá 1 vòng tđ những mv việt_nam lượt xem cao nhất: ) )
245,Cảm_ơn anh vì tuyệt_phẩm này. Anh hát hay lắm lần sau đừng hát nữa ( giả chân ) :gián:
246,Chi pu hát hay mà làm ca_sĩ la một lựa_chọn hoàn_hảo
247,Sì cai đây s lại để Mv tùng núi thua WDTA vại
248,Chế lên tab 3 thịnh_hành rồi ; ) ) ) không phục nữa thì thôi
249,"Trời_ơi, nghe xg là đơ luôn. Suy_nghĩ một lúc vẫn chưa hiểu lời bài hát có ý_nghĩa gì: ) ) ) ) ) ) )"
250,Câu anh phong rap gạo bạc khen phong đẹp_trai đúng thật :cười_ra_nước_mắt:
251,"chị đẹp nhưng hát thì bình_thường quá, không ấn_tượng."
252,Tới bây_giờ mình vẫn còn sem mv này nhé mọi người
253,bạn em bị không nghe được từ nhỏ nhưng khi nghe bài của anh nó có_thể nghe được và tắt nhạc đi vì bảo ( bài này bạn đừng mở cho mình nx ) đấy anh ạ :lăn_ra_cười:
254,"Nhạc của Sơn_Tùng nghe hay, bắt tai thật: ) )"
255,Mv tăng nhanh nữa nhé.... đến đêm nay được 23tr nhé... cố lên cả nhà ơi :hôn_gió: :hôn_gió: :hôn_gió: :hôn_gió: :hôn_gió:
256,"Anti cần gì soi_mói thế không, ghét thì đừng xem"
257,"dở quá, giọng yếu, nhạc thì max chán, chuẩn "" có 1 câu hát hoài_"""
258,Anh_chị đào qhong em thích cặp đôi đó còn hát
259,Thấy nhạc nge cũng êm tay mà sao mấy bạn cứ nói này nói nọ.
260,"Thực_ra chả có video nào làm mình phải vào nêu ý_kiến nhưng cái này thì không kiềm lòng nổi = ) ) Đây là suy_nghĩ của bản_thân mình nhé Chị Chi có ước_mơ làm ca_sĩ thì rất tốt, cố_gắng luyện_tập thêm nhiều hơn_nữa. Còn đây là nhận_xét về MV này: ) Từng shot hình thì rất đẹp, nhưng mỗi_tội xem cả MV tìm mãi chả hiểu được nội_dung MV là gì = ) ) ) ) kiểu nó bị vô_nghĩa ý: ) Mặt chị Chi đơ quá: ) diễn gượng quá, được diễn đi diễn lại mà sao chị gượng thế: ( Giọng hát chị tất_nhiên không dở, nhưng nghe nó quá kiểu học_sinh hát vui vui với nhau ý: ) Làng_nhàng chả đọng lại được 1 chút gì, gần như chả có tí kỹ_thuật ấy: ( Bài hát chả hay luôn = ) ) ) Sáo_rỗng: ( Và nói_chung nó cũng không hợp gu của em tí nào. Em không thích sự nhí_nhảnh cá_cảnh kiểu này = ) ) đây là cá_nhân em. Còn việc chị muốn làm cái này cái kia là tốt. Con_người phải có ước_muốn và phải dám làm mà. Nhưng chị hãy cố_gắng nhiều nhiều nữa nhé = ) )"
261,"Vô đọc bình_luận thì thấy bài hát này tích_cực vãi ra toàn cứu được bao_nhiêu người, nhưng không cứu nổi người hát"
262,facebook anh là thanh nam muon nghe thi vao kb và ib
263,càng_ngày_càng làm XẤU bộ_mặt của môn này
264,nhiều người xem nhỉ.. nhưng vẫn thua bài we don ' tôi kia chục triệu lượt xem ) )
265,cang gt views cang nhay khung khiep... cung mot phan nho may thanh soi day... ha.. ha... ha
266,theo cảm_nhận thì mình thấy bài này có tệ đâu nhỉ thấy cũng hay ấy chứ sao mọi người chê dữ vậy ạ
267,Tùng ơi! TÔI muốn nói bài này như cờ cờ cũng éo nói Được..... @ @ @ trời kia không thích hết MV của tùng mà sao khi nghe xog bài này tôi quay lại thích hết @ @ lại còn buff lượt xem! giờ đi đâu cũng CHÚNG_TA KHÔNG THUỘC VỀ NHAU = ) ) ) ) ) ) ) ) )
268,anh tôi là người rất mê nhạc lmj cũng nghe nhưng cho tới khi tôi mở cho anh tôi nghe vầnh tối hết thích nhạc nx cảm_ơn quý
269,Nghe nhịp_điệu được rồi đừng vô nghe hết bài
270,mà cũng chúc_mừng video đạt kỉ_lục nhờ cả sky ' s và anti vào soi @ @ @ @ @
271,Bọn này phải tử_hình giết cả một thế_hệ trẻ mình không ăn nhưng_mà nghĩ thôi đã thấy_kinh thương cho người tiêu_dùng
272,"nhạc của em đã giúp tôi vượt qua được khoảng thời_gian stress nhất trong đời, cảm_ơn Em, Sơn_Tùng_MTP!"
273,vãi cả lúa thật tăng lượng người nghe qua tường giây đúng là ca_sỹ trẻ tài_năng đây mà
274,31 - 12 - 2019 Ngày cuối_cùng của năm dành để cày lại nhạc của sếp
275,"tìm về nơi đâu, cô_đơn đôi chân llacj trôi giữa bầu_trời"
276,Thấy 2tr views tưởng nổi_tiếng Tai_tiếng thì có Siêu phẩm đầu 1900 Rác phẩm cuối 2024
277,trong video do nhóm nhảy_cao hay do tùng hơi thấp nhỉ
278,Mặc_dù nghe giống WDTA nhưng_mà cũng hay: ) )
279,1 ly chè thập_cẩm có đủ loại chè: - we don ' tôi talk anymore _ charlie puth - Empty _ WINNER - Fire _ BTS ( Khúc ráp ) - Sober _ BIGBANG - Loser _ BIGBANG
280,Tưởng có mỗi tôi xem_lại thôi ai dè đông vậy ~
281,"Tại_sao mọi người lại cứ lôi anh Sơn_Tùng_MTP ra để bêu_xấu, soi_mói nhỉ? Mọi người tưởng làm thế vui lắm sao??? Còn tôi, tôi vui lắm: ) )"
282,Chúng_ta không thuộc về nhau nhạc như We don ' tôi talk anymore
283,Tiếng việt không ra tiếng việt tiếng anh không ra tiếng anh pha pha_trộn trộn nói_chung như cờ cờ
284,hay quá anh ơi místhy và tippy cũng thick sơn tùng mtp
285,Đoạn đầu mà làm biến_thái thêm tí nữa thì max hay... Đoạn đầu MV chưa đủ độ chất và khác_biệt của MTP. chất như TÔI
286,8 / 27 / 2018 một đêm cày học nghe nhạc này vẫn êm tai hơn mấy nhạc nước_ngoài
287,Tôii hỏii nhé. sao tụii bạn cứ ùa zô chữii chi pu l @ s vậy
288,mình thây hay mày. người dung_nhận xét qua tiêu_cực chi nghê si như_vậy em ủng ho chị cô lên nhé chị
289,"Hồi chiều đang xem youtube tôi đã thấy Quảng_Cáo đồ hợp thịt CP, chắc thẩy trắng thành_công rồi. Nào_là thịt heo án toàn, sạch_sẽ, bla bla, bla,.... :cười_toát_mồ_hôi: :cười_toát_mồ_hôi:"
290,cu phai fhua pmq fhoi con fhua 10 trời vậy haha cui bam
291,"nên làm hot girl và diển viên thôi em, chị khuyên thật ấy, em hát không tốt lắm đâu.. hixx"
292,mẹ tai điếc mẹo đi chưa nhanh nghe như đập vào tai
